step,env_id,cutoff_hz,input_action,output_action
126,1,5.0,1.0,0.9999999403953552
126,2,10.0,1.0,1.0
126,3,20.0,1.0,1.0
127,0,2.0,1.0,0.9999717473983765
127,1,5.0,1.0,0.9999999403953552
127,2,10.0,1.0,1.0
127,3,20.0,1.0,1.0
128,0,2.0,1.0,0.999975323677063
128,1,5.0,1.0,0.9999999403953552
128,2,10.0,1.0,1.0
128,3,20.0,1.0,1.0
129,0,2.0,1.0,0.9999784231185913
129,1,5.0,1.0,0.9999999403953552
129,2,10.0,1.0,1.0
129,3,20.0,1.0,1.0
130,0,2.0,1.0,0.9999811053276062
130,1,5.0,1.0,0.9999999403953552
130,2,10.0,1.0,1.0
130,3,20.0,1.0,1.0
131,0,2.0,1.0,0.9999834895133972
131,1,5.0,1.0,0.9999999403953552
131,2,10.0,1.0,1.0
131,3,20.0,1.0,1.0
132,0,2.0,1.0,0.9999855756759644
132,1,5.0,1.0,0.9999999403953552
132,2,10.0,1.0,1.0
132,3,20.0,1.0,1.0
133,0,2.0,1.0,0.9999873638153076
133,1,5.0,1.0,0.9999999403953552
133,2,10.0,1.0,1.0
133,3,20.0,1.0,1.0
134,0,2.0,1.0,0.9999889731407166
134,1,5.0,1.0,0.9999999403953552
134,2,10.0,1.0,1.0
134,3,20.0,1.0,1.0
135,0,2.0,1.0,0.9999903440475464
135,1,5.0,1.0,0.9999999403953552
135,2,10.0,1.0,1.0
135,3,20.0,1.0,1.0
136,0,2.0,1.0,0.9999915361404419
136,1,5.0,1.0,0.9999999403953552
136,2,10.0,1.0,1.0
136,3,20.0,1.0,1.0
137,0,2.0,1.0,0.9999926090240479
137,1,5.0,1.0,0.9999999403953552
137,2,10.0,1.0,1.0
137,3,20.0,1.0,1.0
138,0,2.0,1.0,0.9999935626983643
138,1,5.0,1.0,0.9999999403953552
138,2,10.0,1.0,1.0
138,3,20.0,1.0,1.0
139,0,2.0,1.0,0.9999943971633911
139,1,5.0,1.0,0.9999999403953552
139,2,10.0,1.0,1.0
139,3,20.0,1.0,1.0
140,0,2.0,1.0,0.9999951124191284
140,1,5.0,1.0,0.9999999403953552
140,2,10.0,1.0,1.0
140,3,20.0,1.0,1.0
141,0,2.0,1.0,0.9999957084655762
141,1,5.0,1.0,0.9999999403953552
141,2,10.0,1.0,1.0
141,3,20.0,1.0,1.0
142,0,2.0,1.0,0.9999962449073792
142,1,5.0,1.0,0.9999999403953552
142,2,10.0,1.0,1.0
142,3,20.0,1.0,1.0
143,0,2.0,1.0,0.9999967217445374
143,1,5.0,1.0,0.9999999403953552
143,2,10.0,1.0,1.0
143,3,20.0,1.0,1.0
144,0,2.0,1.0,0.9999971389770508
144,1,5.0,1.0,0.9999999403953552
144,2,10.0,1.0,1.0
144,3,20.0,1.0,1.0
145,0,2.0,1.0,0.9999974966049194
145,1,5.0,1.0,0.9999999403953552
145,2,10.0,1.0,1.0
145,3,20.0,1.0,1.0
146,0,2.0,1.0,0.9999977946281433
146,1,5.0,1.0,0.9999999403953552
146,2,10.0,1.0,1.0
146,3,20.0,1.0,1.0
147,0,2.0,1.0,0.9999980926513672
147,1,5.0,1.0,0.9999999403953552
147,2,10.0,1.0,1.0
147,3,20.0,1.0,1.0
148,0,2.0,1.0,0.9999983310699463
148,1,5.0,1.0,0.9999999403953552
148,2,10.0,1.0,1.0
148,3,20.0,1.0,1.0
149,0,2.0,1.0,0.9999985694885254
149,1,5.0,1.0,0.9999999403953552
149,2,10.0,1.0,1.0
149,3,20.0,1.0,1.0
150,0,2.0,1.0,0.9999987483024597
150,1,5.0,1.0,0.9999999403953552
150,2,10.0,1.0,1.0
150,3,20.0,1.0,1.0
151,0,2.0,1.0,0.999998927116394
151,1,5.0,1.0,0.9999999403953552
151,2,10.0,1.0,1.0
151,3,20.0,1.0,1.0
152,0,2.0,1.0,0.9999990463256836
152,1,5.0,1.0,0.9999999403953552
152,2,10.0,1.0,1.0
152,3,20.0,1.0,1.0
153,0,2.0,1.0,0.9999991655349731
153,1,5.0,1.0,0.9999999403953552
153,2,10.0,1.0,1.0
153,3,20.0,1.0,1.0
154,0,2.0,1.0,0.9999992847442627
154,1,5.0,1.0,0.9999999403953552
154,2,10.0,1.0,1.0
154,3,20.0,1.0,1.0
155,0,2.0,1.0,0.9999994039535522
155,1,5.0,1.0,0.9999999403953552
