step,env_id,time_s,warmup_factor
41,3,0.41,1.0538705587387085
41,4,0.41,1.0713516473770142
41,5,0.41,1.0949957370758057
41,6,0.41,1.0080233812332153
41,7,0.41,1.0579472780227661
42,0,0.42,1.1182775497436523
42,1,0.42,1.0031040906906128
42,2,0.42,1.0742416381835938
42,3,0.42,1.052803874015808
42,4,0.42,1.0699387788772583
42,5,0.42,1.0931147336959839
42,6,0.42,1.0078644752502441
42,7,0.42,1.0567998886108398
43,0,0.43,1.1159354448318481
43,1,0.43,1.0030425786972046
43,2,0.43,1.0727715492248535
43,3,0.43,1.0517582893371582
43,4,0.43,1.0685539245605469
43,5,0.43,1.091270923614502
43,6,0.43,1.0077087879180908
43,7,0.43,1.0556751489639282
44,0,0.44,1.1136398315429688
44,1,0.44,1.0029823780059814
44,2,0.44,1.0713305473327637
44,3,0.44,1.0507334470748901
44,4,0.44,1.0671964883804321
44,5,0.44,1.0894635915756226
44,6,0.44,1.0075562000274658
44,7,0.44,1.0545727014541626
45,0,0.45,1.1113896369934082
45,1,0.45,1.0029233694076538
45,2,0.45,1.069918155670166
45,3,0.45,1.0497288703918457
45,4,0.45,1.0658658742904663
45,5,0.45,1.087692141532898
45,6,0.45,1.0074065923690796
45,7,0.45,1.0534920692443848
46,0,0.46,1.1091840267181396
46,1,0.46,1.0028654336929321
46,2,0.46,1.0685336589813232
46,3,0.46,1.0487442016601562
46,4,0.46,1.0645616054534912
46,5,0.46,1.0859557390213013
46,6,0.46,1.0072599649429321
46,7,0.46,1.052432894706726
47,0,0.47,1.1070220470428467
47,1,0.47,1.002808690071106
47,2,0.47,1.0671765804290771
47,3,0.47,1.0477789640426636
47,4,0.47,1.0632832050323486
47,5,0.47,1.0842536687850952
47,6,0.47,1.0071161985397339
47,7,0.47,1.0513947010040283
48,0,0.48,1.1049028635025024
48,1,0.48,1.0027530193328857
48,2,0.48,1.0658464431762695
48,3,0.48,1.0468329191207886
48,4,0.48,1.0620300769805908
48,5,0.48,1.082585334777832
48,6,0.48,1.0069752931594849
48,7,0.48,1.0503770112991333
49,0,0.49,1.10282564163208
49,1,0.49,1.002698540687561
49,2,0.49,1.0645426511764526
49,3,0.49,1.045905590057373
49,4,0.49,1.0608017444610596
49,5,0.49,1.0809500217437744
49,6,0.49,1.0068371295928955
49,7,0.49,1.0493794679641724
50,0,0.5,1.1007895469665527
50,1,0.5,1.0026451349258423
50,2,0.5,1.0632646083831787
50,3,0.5,1.0449966192245483
50,4,0.5,1.0595977306365967
50,5,0.5,1.0793471336364746
50,6,0.5,1.0067017078399658
50,7,0.5,1.0484017133712769
51,0,0.51,1.0987937450408936
51,1,0.51,1.0025928020477295
51,2,0.51,1.0620118379592896
51,3,0.51,1.0441056489944458
51,4,0.51,1.058417558670044
51,5,0.51,1.0777759552001953
51,6,0.51,1.0065690279006958
51,7,0.51,1.0474432706832886
52,0,0.52,1.0968375205993652
52,1,0.52,1.002541422843933
52,2,0.52,1.060783863067627
52,3,0.52,1.0432323217391968
52,4,0.52,1.0572608709335327
52,5,0.52,1.0762358903884888
52,6,0.52,1.006438970565796
52,7,0.52,1.0465037822723389
53,0,0.53,1.094920039176941
53,1,0.53,1.0024911165237427
53,2,0.53,1.0595802068710327
53,3,0.53,1.0423762798309326
53,4,0.53,1.0561270713806152
53,5,0.53,1.0747263431549072
53,6,0.53,1.0063114166259766
53,7,0.53,1.045582890510559
54,0,0.54,1.0930404663085938
54,1,0.54,1.0024417638778687
54,2,0.54,1.0584003925323486
54,3,0.54,1.0415371656417847
54,4,0.54,1.0550156831741333
54,5,0.54,1.073246717453003
54,6,0.54,1.0061864852905273
54,7,0.54,1.0446802377700806
55,0,0.55,1.0911980867385864
55,1,0.55,1.002393364906311
55,2,0.55,1.0572439432144165
55,3,0.55,1.0407146215438843
55,4,0.55,1.0539263486862183
55,5,0.55,1.0717962980270386
55,6,0.55,1.0060639381408691
55,7,0.55,1.0437954664230347
56,0,0.56,1.0893921852111816
56,1,0.56,1.0023459196090698
56,2,0.56,1.0561103820800781
56,3,0.56,1.0399084091186523
56,4,0.56,1.052858591079712
56,5,0.56,1.070374608039856
56,6,0.56,1.0059438943862915
56,7,0.56,1.0429282188415527
57,0,0.57,1.087622046470642
57,1,0.57,1.002299427986145
57,2,0.57,1.0549993515014648
57,3,0.57,1.0391181707382202
57,4,0.57,1.051811933517456
57,5,0.57,1.0689810514450073
57,6,0.57,1.0058262348175049
57,7,0.57,1.0420781373977661
58,0,0.58,1.0858869552612305
58,1,0.58,1.0022538900375366
58,2,0.58,1.053910255432129
58,3,0.58,1.0383435487747192
58,4,0.58,1.050786018371582
58,5,0.58,1.0676151514053345
58,6,0.58,1.0057108402252197
58,7,0.58,1.0412449836730957
59,0,0.59,1.084186315536499
59,1,0.59,1.0022093057632446
59,2,0.59,1.0528427362442017
59,3,0.59,1.0375843048095703
