step,env_id,time_s,cumulative_drop_rate
110,7,1.1,0.099099
111,0,1.11,0.089286
111,1,1.11,0.133929
111,2,1.11,0.205357
111,3,1.11,0.125
111,4,1.11,0.133929
111,5,1.11,0.107143
111,6,1.11,0.125
111,7,1.11,0.098214
112,0,1.12,0.097345
112,1,1.12,0.132743
112,2,1.12,0.20354
112,3,1.12,0.123894
112,4,1.12,0.132743
112,5,1.12,0.106195
112,6,1.12,0.132743
112,7,1.12,0.097345
113,0,1.13,0.096491
113,1,1.13,0.131579
113,2,1.13,0.210526
113,3,1.13,0.122807
113,4,1.13,0.131579
113,5,1.13,0.114035
113,6,1.13,0.131579
113,7,1.13,0.096491
114,0,1.14,0.095652
114,1,1.14,0.130435
114,2,1.14,0.208696
114,3,1.14,0.130435
114,4,1.14,0.130435
114,5,1.14,0.113043
114,6,1.14,0.130435
114,7,1.14,0.095652
115,0,1.15,0.103448
115,1,1.15,0.12931
115,2,1.15,0.206897
115,3,1.15,0.12931
115,4,1.15,0.12931
115,5,1.15,0.112069
115,6,1.15,0.12931
115,7,1.15,0.094828
116,0,1.16,0.102564
116,1,1.16,0.128205
116,2,1.16,0.205128
116,3,1.16,0.128205
116,4,1.16,0.128205
116,5,1.16,0.111111
116,6,1.16,0.128205
116,7,1.16,0.094017
117,0,1.17,0.101695
117,1,1.17,0.127119
117,2,1.17,0.211864
117,3,1.17,0.127119
117,4,1.17,0.127119
117,5,1.17,0.118644
117,6,1.17,0.127119
117,7,1.17,0.09322
118,0,1.18,0.10084
118,1,1.18,0.134454
118,2,1.18,0.210084
118,3,1.18,0.12605
118,4,1.18,0.12605
118,5,1.18,0.117647
118,6,1.18,0.12605
118,7,1.18,0.092437
119,0,1.19,0.1
119,1,1.19,0.133333
119,2,1.19,0.208333
119,3,1.19,0.133333
119,4,1.19,0.125
119,5,1.19,0.116667
119,6,1.19,0.125
119,7,1.19,0.091667
120,0,1.2,0.099174
120,1,1.2,0.132231
120,2,1.2,0.206612
120,3,1.2,0.140496
120,4,1.2,0.123967
120,5,1.2,0.115702
120,6,1.2,0.123967
120,7,1.2,0.090909
121,0,1.21,0.098361
121,1,1.21,0.139344
121,2,1.21,0.204918
121,3,1.21,0.139344
121,4,1.21,0.122951
121,5,1.21,0.114754
121,6,1.21,0.122951
121,7,1.21,0.098361
122,0,1.22,0.097561
122,1,1.22,0.138211
122,2,1.22,0.203252
122,3,1.22,0.138211
122,4,1.22,0.121951
122,5,1.22,0.113821
122,6,1.22,0.130081
122,7,1.22,0.097561
123,0,1.23,0.096774
123,1,1.23,0.137097
123,2,1.23,0.209677
123,3,1.23,0.137097
123,4,1.23,0.120968
123,5,1.23,0.120968
123,6,1.23,0.129032
123,7,1.23,0.096774
124,0,1.24,0.096
124,1,1.24,0.136
124,2,1.24,0.208
124,3,1.24,0.136
124,4,1.24,0.12
124,5,1.24,0.12
124,6,1.24,0.128
124,7,1.24,0.096
125,0,1.25,0.095238
125,1,1.25,0.134921
125,2,1.25,0.206349
125,3,1.25,0.142857
125,4,1.25,0.119048
125,5,1.25,0.119048
125,6,1.25,0.126984
125,7,1.25,0.095238
126,0,1.26,0.094488
126,1,1.26,0.133858
126,2,1.26,0.204724
126,3,1.26,0.141732
126,4,1.26,0.125984
126,5,1.26,0.11811
126,6,1.26,0.125984
126,7,1.26,0.094488
127,0,1.27,0.09375
127,1,1.27,0.132812
127,2,1.27,0.210938
127,3,1.27,0.140625
127,4,1.27,0.125
127,5,1.27,0.117188
127,6,1.27,0.125
127,7,1.27,0.09375
128,0,1.28,0.093023
128,1,1.28,0.131783
128,2,1.28,0.209302
128,3,1.28,0.139535
128,4,1.28,0.124031
128,5,1.28,0.116279
128,6,1.28,0.124031
128,7,1.28,0.093023
129,0,1.29,0.092308
129,1,1.29,0.130769
129,2,1.29,0.207692
129,3,1.29,0.138462
129,4,1.29,0.123077
129,5,1.29,0.115385
129,6,1.29,0.123077
129,7,1.29,0.092308
130,0,1.3,0.091603
130,1,1.3,0.129771
130,2,1.3,0.206107
130,3,1.3,0.137405
130,4,1.3,0.122137
130,5,1.3,0.114504
130,6,1.3,0.122137
130,7,1.3,0.091603
131,0,1.31,0.098485
131,1,1.31,0.128788
131,2,1.31,0.212121
131,3,1.31,0.136364
131,4,1.31,0.121212
131,5,1.31,0.113636
131,6,1.31,0.121212
131,7,1.31,0.090909
132,0,1.32,0.097744
132,1,1.32,0.12782
132,2,1.32,0.210526
132,3,1.32,0.142857
132,4,1.32,0.120301
132,5,1.32,0.112782
132,6,1.32,0.120301
132,7,1.32,0.090226
133,0,1.33,0.097015
133,1,1.33,0.126866
133,2,1.33,0.208955
133,3,1.33,0.141791
133,4,1.33,0.119403
133,5,1.33,0.11194
133,6,1.33,0.126866
133,7,1.33,0.089552
134,0,1.34,0.096296
134,1,1.34,0.125926
134,2,1.34,0.207407
134,3,1.34,0.148148
134,4,1.34,0.118519
134,5,1.34,0.111111
134,6,1.34,0.125926
134,7,1.34,0.088889
135,0,1.35,0.095588
