step,env_id,time_s,phase_offset_s
167,3,1.67,1.9258623069617897e-06
168,0,1.68,1.6745494235692604e-07
168,1,1.68,6.379325895977672e-06
168,2,1.68,7.171904030656151e-07
168,3,1.68,2.017803581111366e-06
169,0,1.69,5.808207106383634e-07
169,1,1.69,5.941996278124861e-06
169,2,1.69,4.117776768453041e-07
169,3,1.69,2.169618483094382e-06
170,0,1.7,9.074403237718798e-07
170,1,1.7,5.535224772756919e-06
170,2,1.7,1.5491963267777464e-08
170,3,1.7,2.6149064069613814e-06
171,0,1.71,8.040267402975587e-07
171,1,1.71,5.448369392979657e-06
171,2,1.71,3.168590581026365e-07
171,3,1.71,2.227210188721074e-06
172,0,1.72,6.645392431892105e-07
172,1,1.72,5.1443676056806e-06
172,2,1.72,1.703812984032993e-07
172,3,1.72,2.122056002917816e-06
173,0,1.73,8.809772680251626e-07
173,1,1.73,5.223079824645538e-06
173,2,1.73,-1.2361985568531964e-07
173,3,1.73,2.558558890086715e-06
174,0,1.74,1.2086670722055715e-06
174,1,1.74,5.4047545745561365e-06
174,2,1.74,-5.2981812359576e-07
174,3,1.74,2.597719458208303e-06
175,0,1.75,8.79613537563273e-07
175,1,1.75,5.70994461668306e-06
175,2,1.75,-2.777370582407457e-07
175,3,1.75,2.248716327812872e-06
