step,env_id,time_s,wrench_magnitude
122,1,1.22,1.7894665002822876
122,2,1.22,0.9138644933700562
122,3,1.22,1.5865461826324463
123,0,1.23,1.3067634105682373
123,1,1.23,1.8085836172103882
123,2,1.23,0.9853653311729431
123,3,1.23,1.5967170000076294
124,0,1.24,1.1581624746322632
124,1,1.24,1.8112103939056396
124,2,1.24,0.8874083757400513
124,3,1.24,1.630100131034851
125,0,1.25,1.10002863407135
125,1,1.25,1.7705355882644653
125,2,1.25,1.0581570863723755
125,3,1.25,1.5828591585159302
126,0,1.26,1.028564214706421
126,1,1.26,1.7476918697357178
126,2,1.26,0.9574341773986816
126,3,1.26,1.496503233909607
127,0,1.27,1.3526486158370972
127,1,1.27,1.5528489351272583
127,2,1.27,0.9775247573852539
127,3,1.27,1.795648217201233
128,0,1.28,0.8509441614151001
128,1,1.28,1.9990164041519165
128,2,1.28,0.9960544109344482
128,3,1.28,1.9663347005844116
129,0,1.29,1.0621271133422852
129,1,1.29,1.8980975151062012
129,2,1.29,1.3620836734771729
129,3,1.29,1.929659366607666
130,0,1.3,0.7685058116912842
130,1,1.3,1.9032546281814575
130,2,1.3,1.728408694267273
130,3,1.3,1.935423731803894
131,0,1.31,0.8760127425193787
131,1,1.31,1.6711686849594116
131,2,1.31,1.9205490350723267
131,3,1.31,1.8894319534301758
132,0,1.32,1.0529359579086304
132,1,1.32,1.6111360788345337
132,2,1.32,2.1083555221557617
132,3,1.32,2.0805118083953857
133,0,1.33,0.8565266132354736
133,1,1.33,1.3286263942718506
133,2,1.33,2.0812151432037354
133,3,1.33,2.05586576461792
134,0,1.34,0.7414652705192566
134,1,1.34,1.1470365524291992
134,2,1.34,2.2199532985687256
134,3,1.34,1.992322325706482
135,0,1.35,0.8426185250282288
135,1,1.35,1.175308108329773
135,2,1.35,2.5920586585998535
135,3,1.35,2.072080612182617
136,0,1.36,0.9431501030921936
136,1,1.36,1.341176152229309
136,2,1.36,2.4722352027893066
136,3,1.36,1.950573444366455
137,0,1.37,0.8346908092498779
137,1,1.37,1.253659963607788
137,2,1.37,2.6414153575897217
137,3,1.37,2.075294017791748
138,0,1.3800000000000001,0.864944577217102
138,1,1.3800000000000001,1.3178651332855225
138,2,1.3800000000000001,2.426442861557007
138,3,1.3800000000000001,1.8206140995025635
139,0,1.3900000000000001,0.7966198325157166
139,1,1.3900000000000001,1.2338550090789795
139,2,1.3900000000000001,2.220099687576294
139,3,1.3900000000000001,1.632481336593628
140,0,1.4000000000000001,0.7035285830497742
140,1,1.4000000000000001,1.4665430784225464
140,2,1.4000000000000001,2.2585501670837402
140,3,1.4000000000000001,1.541052222251892
141,0,1.41,0.7150329351425171
141,1,1.41,1.1538770198822021
141,2,1.41,2.0583293437957764
141,3,1.41,1.3126226663589478
142,0,1.42,0.7922062873840332
142,1,1.42,1.2251458168029785
142,2,1.42,2.407789707183838
142,3,1.42,1.3435133695602417
143,0,1.43,0.9853041768074036
143,1,1.43,1.024433970451355
143,2,1.43,2.6470789909362793
143,3,1.43,1.2408599853515625
144,0,1.44,1.007917881011963
144,1,1.44,0.9461508989334106
144,2,1.44,2.7101001739501953
144,3,1.44,1.324102520942688
145,0,1.45,1.2573055028915405
145,1,1.45,1.221785306930542
145,2,1.45,2.9371039867401123
145,3,1.45,1.3654505014419556
146,0,1.46,1.323279857635498
146,1,1.46,1.3316596746444702
146,2,1.46,2.882235050201416
146,3,1.46,1.431900978088379
147,0,1.47,1.0046411752700806
147,1,1.47,1.227955937385559
147,2,1.47,2.724452018737793
147,3,1.47,1.5095912218093872
148,0,1.48,1.171986699104309
148,1,1.48,1.1685469150543213
148,2,1.48,2.9541399478912354
148,3,1.48,1.3077679872512817
149,0,1.49,1.353013038635254
149,1,1.49,0.8785495162010193
149,2,1.49,2.9418177604675293
149,3,1.49,1.2305235862731934
150,0,1.5,1.3269245624542236
150,1,1.5,0.9849432110786438
150,2,1.5,2.765599250793457
150,3,1.5,1.0046175718307495
151,0,1.51,1.5909675359725952
151,1,1.51,0.7008107900619507
151,2,1.51,2.942556858062744
151,3,1.51,1.2740823030471802
152,0,1.52,1.4601253271102905
152,1,1.52,0.510559618473053
152,2,1.52,3.216679811477661
152,3,1.52,1.3712413311004639
153,0,1.53,1.35221266746521
153,1,1.53,0.7915784120559692
153,2,1.53,3.1004204750061035
153,3,1.53,1.5029457807540894
154,0,1.54,1.4403705596923828
154,1,1.54,1.027301549911499
154,2,1.54,2.7420215606689453
154,3,1.54,1.3507851362228394
155,0,1.55,1.1673734188079834
155,1,1.55,0.8786514401435852
155,2,1.55,2.8905856609344482
155,3,1.55,1.3309202194213867
156,0,1.56,1.1209888458251953
156,1,1.56,0.77717524766922
156,2,1.56,3.1051204204559326
156,3,1.56,1.3384991884231567
157,0,1.57,1.1588910818099976
157,1,1.57,0.7445393800735474
157,2,1.57,3.3028738498687744
157,3,1.57,1.197081446647644
158,0,1.58,0.7245683670043945
158,1,1.58,1.0520802736282349
158,2,1.58,3.003377914428711
158,3,1.58,1.192090392112732
159,0,1.59,0.6560516953468323
159,1,1.59,1.2704179286956787
159,2,1.59,2.8799595832824707
159,3,1.59,1.1236790418624878
160,0,1.6,0.7061275243759155
160,1,1.6,1.07316255569458
160,2,1.6,2.9434993267059326
160,3,1.6,1.12526273727417
161,0,1.61,0.816071629524231
161,1,1.61,1.1879931688308716
161,2,1.61,3.213315725326538
161,3,1.61,1.0094809532165527
162,0,1.62,0.9782093167304993
162,1,1.62,1.2158894538879395
162,2,1.62,3.151649236679077
162,3,1.62,1.281823754310608
163,0,1.6300000000000001,1.2611911296844482
163,1,1.6300000000000001,0.8731839060783386
163,2,1.6300000000000001,3.0723938941955566
163,3,1.6300000000000001,1.3090649843215942
164,0,1.6400000000000001,1.0062979459762573
164,1,1.6400000000000001,1.2090200185775757
164,2,1.6400000000000001,2.8403100967407227
164,3,1.6400000000000001,1.0828646421432495
165,0,1.6500000000000001,0.9198652505874634
165,1,1.6500000000000001,1.2714868783950806
165,2,1.6500000000000001,2.654303789138794
165,3,1.6500000000000001,0.9796534180641174
166,0,1.6600000000000001,1.108031988143921
166,1,1.6600000000000001,1.7479758262634277
166,2,1.6600000000000001,2.5307936668395996
166,3,1.6600000000000001,1.05575692653656
167,0,1.67,1.1550761461257935
167,1,1.67,1.9125555753707886
167,2,1.67,2.3544230461120605
167,3,1.67,0.9803385138511658
168,0,1.68,1.1373130083084106
168,1,1.68,1.9739104509353638
168,2,1.68,2.2413017749786377
168,3,1.68,1.1017018556594849
169,0,1.69,1.0230557918548584
169,1,1.69,2.0196750164031982
169,2,1.69,2.7230944633483887
169,3,1.69,1.29097318649292
170,0,1.7,1.1110223531723022
170,1,1.7,1.9546096324920654
170,2,1.7,2.7401061058044434
170,3,1.7,1.2001513242721558
171,0,1.71,0.9537086486816406
171,1,1.71,1.8081313371658325
171,2,1.71,2.9545485973358154
171,3,1.71,1.0803754329681396
172,0,1.72,0.6522602438926697
172,1,1.72,1.9121363162994385
172,2,1.72,2.871922016143799
172,3,1.72,1.121960997581482
173,0,1.73,0.7284624576568604
173,1,1.73,1.4132297039031982
173,2,1.73,3.0907042026519775
173,3,1.73,0.9903706312179565
174,0,1.74,0.9133931398391724
174,1,1.74,1.277230143547058
174,2,1.74,3.0872793197631836
174,3,1.74,0.7590189576148987
175,0,1.75,0.814327597618103
175,1,1.75,1.5390623807907104
175,2,1.75,2.907353639602661
175,3,1.75,0.8533445596694946
176,0,1.76,0.6660107374191284
176,1,1.76,1.2260833978652954
176,2,1.76,2.916341781616211
176,3,1.76,0.818580150604248
177,0,1.77,0.6212484240531921
177,1,1.77,1.2230238914489746
177,2,1.77,2.962904691696167
177,3,1.77,0.6278961300849915
178,0,1.78,0.7662066221237183
178,1,1.78,1.1653093099594116
178,2,1.78,2.7387728691101074
178,3,1.78,0.7350286245346069
179,0,1.79,0.7894424200057983
179,1,1.79,1.307384729385376
179,2,1.79,2.8088693618774414
179,3,1.79,0.9076420068740845
180,0,1.8,1.0373793840408325
180,1,1.8,1.4959207773208618
180,2,1.8,2.7892696857452393
180,3,1.8,1.1209392547607422
181,0,1.81,1.1577922105789185
181,1,1.81,1.7020741701126099
181,2,1.81,2.727661609649658
181,3,1.81,0.9562960267066956
182,0,1.82,1.065471887588501
182,1,1.82,1.6535725593566895
182,2,1.82,2.7695488929748535
182,3,1.82,1.000417947769165
183,0,1.83,1.0975579023361206
183,1,1.83,1.2495325803756714
183,2,1.83,2.841834545135498
183,3,1.83,0.9151185154914856
184,0,1.84,1.2683542966842651
184,1,1.84,1.472594976425171
184,2,1.84,2.776428699493408
184,3,1.84,0.9529391527175903
185,0,1.85,1.12007737159729
185,1,1.85,1.8483508825302124
185,2,1.85,2.783810615539551
185,3,1.85,1.0457055568695068
186,0,1.86,1.1222891807556152
186,1,1.86,1.8872195482254028
186,2,1.86,2.8152618408203125
186,3,1.86,1.3520941734313965
187,0,1.87,1.0216745138168335
187,1,1.87,1.7007050514221191
187,2,1.87,2.9084527492523193
187,3,1.87,1.522350549697876
188,0,1.8800000000000001,0.9830365180969238
188,1,1.8800000000000001,1.7811710834503174
188,2,1.8800000000000001,2.874643087387085
188,3,1.8800000000000001,1.4826442003250122
189,0,1.8900000000000001,0.901527464389801
189,1,1.8900000000000001,2.256357431411743
189,2,1.8900000000000001,2.9741342067718506
189,3,1.8900000000000001,1.508001446723938
190,0,1.9000000000000001,1.0225093364715576
190,1,1.9000000000000001,2.346743583679199
190,2,1.9000000000000001,3.0276548862457275
190,3,1.9000000000000001,1.6840193271636963
191,0,1.9100000000000001,1.1976706981658936
191,1,1.9100000000000001,2.295109748840332
191,2,1.9100000000000001,3.304924488067627
191,3,1.9100000000000001,1.548280119895935
192,0,1.92,1.1462702751159668
192,1,1.92,2.248683452606201
192,2,1.92,3.224957227706909
192,3,1.92,1.4053339958190918
193,0,1.93,1.2106534242630005
193,1,1.93,2.552280902862549
193,2,1.93,3.1649789810180664
